"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome"
35,"technician","married","secondary","no",6,"yes","no","cellular",11,"may",204,2,348,2,"failure"
37,"management","single","tertiary","no",1027,"yes","no","cellular",2,"mar",313,1,152,2,"success"
33,"services","divorced","unknown","no",392,"yes","no","cellular",15,"jul",753,4,-1,0,"unknown"
66,"retired","married","secondary","no",3473,"no","no","cellular",14,"apr",441,2,-1,0,"unknown"
45,"management","married","tertiary","no",2220,"yes","no","cellular",11,"jul",128,2,-1,0,"unknown"
28,"management","single","tertiary","no",1,"no","no","cellular",24,"jul",86,11,-1,0,"unknown"
34,"admin.","married","secondary","no",1183,"yes","no","cellular",20,"apr",575,2,-1,0,"unknown"
52,"services","divorced","secondary","no",0,"no","no","cellular",31,"jul",530,3,-1,0,"unknown"
59,"blue-collar","married","primary","no",14,"yes","yes","unknown",20,"may",355,1,-1,0,"unknown"
57,"management","married","secondary","no",7162,"no","no","cellular",17,"nov",83,1,-1,0,"unknown"
41,"admin.","single","secondary","no",0,"no","no","telephone",25,"jul",286,2,-1,0,"unknown"
34,"entrepreneur","married","primary","no",0,"yes","no","cellular",21,"jul",132,3,-1,0,"unknown"
34,"admin.","married","secondary","no",2,"yes","no","cellular",25,"jul",137,11,-1,0,"unknown"
42,"technician","married","secondary","no",9324,"no","no","cellular",27,"aug",67,4,-1,0,"unknown"
67,"retired","married","primary","no",585,"no","no","cellular",12,"jan",164,1,148,1,"failure"
30,"management","single","tertiary","no",12857,"yes","no","cellular",6,"nov",150,1,-1,0,"unknown"
31,"blue-collar","married","secondary","no",1599,"yes","no","unknown",21,"may",49,1,-1,0,"unknown"
31,"management","married","tertiary","no",0,"no","no","unknown",14,"may",298,1,-1,0,"unknown"
29,"services","single","secondary","no",441,"yes","no","cellular",17,"apr",69,1,-1,0,"unknown"
36,"technician","married","tertiary","no",4388,"no","no","cellular",8,"aug",52,3,-1,0,"unknown"
33,"technician","single","secondary","no",4792,"no","no","cellular",26,"may",131,3,-1,0,"unknown"
53,"technician","married","tertiary","no",2557,"no","no","cellular",29,"jul",95,4,182,7,"success"
48,"management","married","tertiary","no",4191,"no","no","unknown",21,"may",363,6,-1,0,"unknown"
50,"entrepreneur","divorced","tertiary","no",101,"no","no","cellular",20,"aug",132,2,-1,0,"unknown"
50,"self-employed","divorced","secondary","no",985,"yes","yes","telephone",21,"nov",167,1,-1,0,"unknown"
32,"management","married","tertiary","no",1331,"no","no","cellular",12,"aug",93,1,104,4,"success"
56,"management","married","tertiary","no",2925,"no","no","cellular",29,"aug",133,6,-1,0,"unknown"
35,"blue-collar","single","secondary","no",142,"yes","no","cellular",7,"may",266,2,168,1,"failure"
34,"management","single","tertiary","no",2633,"yes","no","cellular",21,"nov",705,6,-1,0,"unknown"
26,"blue-collar","married","secondary","no",352,"yes","no","cellular",8,"apr",213,3,317,4,"other"
39,"management","married","tertiary","no",1654,"no","yes","cellular",21,"nov",151,1,-1,0,"unknown"
32,"management","single","tertiary","no",307,"no","no","cellular",25,"jan",96,1,201,3,"success"
60,"management","married","primary","no",703,"yes","no","unknown",14,"may",378,1,-1,0,"unknown"
30,"unemployed","married","tertiary","no",330,"no","no","cellular",3,"jul",264,1,80,1,"success"
43,"blue-collar","married","secondary","no",664,"yes","no","unknown",12,"jun",354,1,-1,0,"unknown"
36,"management","married","tertiary","no",0,"yes","yes","cellular",14,"jul",119,2,-1,0,"unknown"
49,"blue-collar","married","primary","no",201,"yes","yes","cellular",18,"jul",297,2,-1,0,"unknown"
58,"blue-collar","married","secondary","no",0,"no","no","cellular",18,"aug",27,17,-1,0,"unknown"
43,"management","married","tertiary","no",9261,"yes","no","cellular",17,"apr",273,2,254,2,"failure"
54,"management","married","primary","yes",0,"yes","yes","cellular",6,"may",95,1,-1,0,"unknown"
43,"technician","married","secondary","no",0,"no","yes","cellular",8,"may",9,2,172,5,"failure"
36,"self-employed","single","tertiary","no",351,"no","no","cellular",30,"apr",78,1,84,1,"failure"
31,"entrepreneur","married","primary","no",-98,"yes","no","cellular",18,"may",9,3,362,7,"failure"
47,"technician","married","secondary","no",459,"no","no","cellular",28,"jan",226,1,-1,0,"unknown"
50,"management","married","tertiary","no",469,"no","no","cellular",16,"apr",161,1,-1,0,"unknown"
41,"admin.","married","tertiary","no",108,"yes","no","cellular",2,"feb",210,1,-1,0,"unknown"
27,"admin.","single","secondary","no",456,"no","no","cellular",13,"may",104,1,-1,0,"unknown"
32,"blue-collar","married","primary","no",268,"yes","yes","cellular",18,"may",189,1,-1,0,"unknown"
42,"management","divorced","tertiary","no",221,"yes","no","unknown",7,"may",720,2,-1,0,"unknown"
45,"self-employed","married","secondary","no",7,"no","no","cellular",20,"nov",691,1,-1,0,"unknown"
30,"technician","single","secondary","no",513,"yes","no","cellular",20,"apr",241,1,-1,0,"unknown"
34,"management","married","tertiary","no",4859,"no","no","cellular",20,"aug",262,2,112,2,"failure"
42,"blue-collar","divorced","primary","no",299,"yes","no","unknown",13,"may",253,2,-1,0,"unknown"
35,"technician","married","secondary","no",150,"no","no","cellular",18,"aug",242,5,-1,0,"unknown"
50,"services","divorced","secondary","no",641,"no","no","cellular",25,"may",128,3,-1,0,"unknown"
58,"services","divorced","secondary","no",739,"yes","no","cellular",20,"apr",304,7,335,5,"failure"
37,"admin.","single","secondary","no",465,"yes","yes","cellular",6,"may",116,1,-1,0,"unknown"
40,"services","married","secondary","no",87,"yes","yes","cellular",21,"nov",116,2,113,4,"failure"
47,"technician","married","secondary","no",2283,"yes","no","cellular",21,"nov",170,2,-1,0,"unknown"
54,"blue-collar","married","primary","no",0,"no","no","cellular",18,"aug",144,2,-1,0,"unknown"
32,"admin.","single","secondary","no",131,"yes","no","cellular",22,"jun",522,1,183,2,"success"
45,"management","single","tertiary","no",5769,"no","no","cellular",20,"nov",59,3,-1,0,"unknown"
39,"entrepreneur","married","tertiary","no",942,"yes","no","cellular",14,"aug",880,3,267,1,"other"
47,"technician","married","secondary","no",826,"yes","no","telephone",18,"nov",195,3,112,8,"other"
37,"management","divorced","tertiary","no",153,"yes","no","cellular",30,"apr",221,1,70,2,"other"
35,"unemployed","married","secondary","no",977,"yes","no","cellular",4,"may",52,4,91,1,"other"
58,"unemployed","married","secondary","no",4497,"yes","no","unknown",29,"may",128,1,-1,0,"unknown"
42,"unemployed","married","tertiary","no",576,"no","no","cellular",3,"jun",447,2,96,1,"success"
45,"admin.","married","secondary","no",1214,"yes","no","cellular",28,"jul",118,2,-1,0,"unknown"
33,"technician","single","tertiary","no",0,"no","no","cellular",22,"aug",135,3,-1,0,"unknown"
29,"blue-collar","married","secondary","no",2870,"yes","no","cellular",16,"jul",988,1,-1,0,"unknown"
39,"management","single","tertiary","no",30,"yes","no","cellular",13,"may",201,3,-1,0,"unknown"
34,"management","married","tertiary","no",0,"no","no","cellular",2,"feb",327,1,-1,0,"unknown"
41,"management","married","tertiary","no",6060,"yes","no","unknown",15,"may",71,2,-1,0,"unknown"
48,"housemaid","married","primary","no",0,"no","no","cellular",28,"aug",20,23,-1,0,"unknown"
39,"blue-collar","single","primary","no",0,"no","no","unknown",18,"jun",375,2,-1,0,"unknown"
34,"blue-collar","married","secondary","no",-436,"yes","no","unknown",26,"may",317,1,-1,0,"unknown"
33,"management","single","unknown","no",1534,"yes","no","cellular",11,"jul",1041,2,-1,0,"unknown"
37,"blue-collar","married","unknown","no",969,"yes","no","cellular",14,"may",343,2,-1,0,"unknown"
31,"student","single","tertiary","no",4951,"no","no","cellular",17,"sep",285,3,81,3,"failure"
44,"blue-collar","married","secondary","no",274,"yes","yes","unknown",6,"may",409,1,-1,0,"unknown"
48,"blue-collar","single","secondary","no",44,"yes","no","unknown",6,"may",153,1,-1,0,"unknown"
36,"housemaid","married","secondary","no",0,"no","yes","telephone",15,"jul",571,3,-1,0,"unknown"
75,"retired","married","primary","no",5491,"no","no","telephone",28,"jul",258,6,-1,0,"unknown"
48,"housemaid","single","secondary","no",71,"no","no","cellular",28,"aug",97,3,-1,0,"unknown"
56,"retired","married","secondary","yes",101,"no","yes","unknown",19,"jun",330,1,-1,0,"unknown"
35,"technician","single","tertiary","no",632,"no","no","cellular",7,"aug",141,1,-1,0,"unknown"
57,"unknown","married","secondary","no",2,"no","no","unknown",6,"jun",112,4,-1,0,"unknown"
42,"management","single","tertiary","no",227,"no","no","cellular",20,"aug",428,8,-1,0,"unknown"
42,"blue-collar","married","secondary","no",2044,"yes","yes","cellular",7,"may",155,1,282,5,"failure"
25,"management","single","tertiary","no",316,"no","no","cellular",27,"mar",347,2,-1,0,"unknown"
40,"housemaid","married","primary","no",979,"no","no","cellular",15,"oct",106,4,-1,0,"unknown"
29,"services","single","tertiary","no",1788,"no","no","cellular",27,"oct",353,1,-1,0,"unknown"
55,"blue-collar","married","secondary","no",233,"yes","no","cellular",5,"may",813,2,351,3,"failure"
52,"services","divorced","secondary","no",2455,"no","no","cellular",25,"jul",289,1,-1,0,"unknown"
56,"retired","married","secondary","no",364,"no","no","cellular",5,"aug",105,1,-1,0,"unknown"
40,"management","married","tertiary","no",0,"yes","no","telephone",16,"jul",87,5,-1,0,"unknown"
28,"admin.","single","tertiary","no",282,"yes","yes","cellular",3,"feb",329,1,-1,0,"unknown"
29,"self-employed","married","secondary","no",425,"yes","no","unknown",5,"jun",562,15,-1,0,"unknown"
42,"management","single","tertiary","no",328,"yes","yes","cellular",17,"nov",125,1,-1,0,"unknown"
49,"entrepreneur","married","secondary","no",89,"yes","no","cellular",12,"may",351,1,-1,0,"unknown"
33,"management","married","tertiary","no",2441,"yes","yes","cellular",19,"nov",154,1,-1,0,"unknown"
55,"technician","married","secondary","no",361,"yes","yes","cellular",20,"nov",292,2,-1,0,"unknown"
33,"management","divorced","secondary","no",106,"no","no","cellular",20,"aug",175,3,-1,0,"unknown"
46,"management","divorced","tertiary","no",24598,"yes","no","cellular",14,"may",118,4,374,3,"failure"
57,"management","married","tertiary","no",388,"no","yes","unknown",15,"may",262,4,-1,0,"unknown"
32,"technician","single","tertiary","no",1012,"no","no","cellular",14,"apr",178,1,-1,0,"unknown"
57,"blue-collar","married","secondary","no",1686,"no","no","telephone",22,"feb",219,4,311,2,"failure"
55,"management","divorced","tertiary","no",8044,"yes","no","cellular",11,"may",175,5,333,19,"other"
26,"management","single","tertiary","no",2692,"no","no","unknown",28,"may",159,2,-1,0,"unknown"
45,"blue-collar","married","primary","no",15515,"no","no","cellular",4,"aug",167,2,-1,0,"unknown"
51,"blue-collar","married","secondary","no",1779,"yes","no","unknown",15,"may",99,2,-1,0,"unknown"
40,"services","single","secondary","no",0,"yes","no","cellular",17,"apr",350,2,-1,0,"unknown"
49,"unemployed","married","secondary","no",13818,"no","no","cellular",31,"jul",221,2,-1,0,"unknown"
53,"housemaid","married","primary","no",2581,"no","no","cellular",15,"apr",99,1,-1,0,"unknown"
48,"admin.","married","secondary","no",490,"no","no","cellular",6,"aug",136,2,-1,0,"unknown"
42,"services","married","secondary","no",120,"yes","no","cellular",17,"apr",179,1,-1,0,"unknown"
48,"self-employed","married","secondary","no",884,"yes","no","cellular",31,"jul",118,2,-1,0,"unknown"
27,"blue-collar","single","primary","no",68,"yes","yes","cellular",11,"may",50,5,-1,0,"unknown"
53,"blue-collar","married","secondary","no",66,"no","no","unknown",6,"jun",360,2,-1,0,"unknown"
33,"management","married","tertiary","no",431,"yes","no","telephone",27,"oct",51,1,-1,0,"unknown"
33,"admin.","single","tertiary","no",490,"yes","no","cellular",7,"may",31,1,363,2,"failure"
40,"housemaid","married","tertiary","no",0,"no","no","unknown",6,"oct",6,1,-1,0,"unknown"
31,"entrepreneur","single","tertiary","yes",-405,"yes","yes","cellular",21,"nov",846,1,100,2,"success"
34,"management","married","tertiary","no",1339,"no","no","cellular",20,"aug",255,8,-1,0,"unknown"
38,"blue-collar","single","primary","no",0,"yes","no","cellular",11,"may",284,4,-1,0,"unknown"
48,"management","divorced","tertiary","no",15,"no","no","unknown",6,"nov",88,1,-1,0,"unknown"
49,"management","married","tertiary","no",4751,"no","no","cellular",12,"aug",884,4,-1,0,"unknown"
48,"admin.","single","secondary","no",303,"yes","yes","cellular",2,"feb",142,1,189,4,"failure"
44,"technician","married","tertiary","no",851,"yes","no","cellular",11,"jul",47,2,-1,0,"unknown"
36,"admin.","single","secondary","no",733,"yes","no","cellular",20,"apr",176,1,322,2,"other"
30,"management","single","tertiary","no",0,"yes","no","cellular",5,"may",495,1,-1,0,"unknown"
36,"management","married","tertiary","no",0,"yes","no","telephone",23,"oct",140,1,143,3,"failure"
36,"blue-collar","married","secondary","no",-190,"yes","no","unknown",27,"may",348,2,-1,0,"unknown"
31,"technician","married","tertiary","no",3338,"yes","no","cellular",24,"jun",122,2,185,2,"success"
52,"technician","married","tertiary","no",214,"no","no","cellular",29,"aug",161,3,-1,0,"unknown"
50,"services","married","secondary","no",1126,"no","no","cellular",4,"aug",679,1,-1,0,"unknown"
52,"technician","married","secondary","no",-33,"no","no","cellular",20,"aug",257,2,-1,0,"unknown"
38,"technician","single","tertiary","no",1619,"no","no","unknown",9,"jun",324,1,-1,0,"unknown"
45,"admin.","married","secondary","no",3006,"no","no","cellular",29,"apr",388,2,-1,0,"unknown"
39,"blue-collar","single","primary","no",267,"no","no","cellular",18,"nov",322,1,-1,0,"unknown"
39,"management","married","unknown","no",4800,"no","no","unknown",12,"jun",135,3,-1,0,"unknown"
60,"retired","married","tertiary","no",1766,"no","no","cellular",5,"aug",344,1,-1,0,"unknown"
44,"admin.","married","secondary","no",58544,"yes","no","unknown",7,"may",144,2,-1,0,"unknown"
32,"services","married","primary","no",218,"yes","no","cellular",4,"feb",177,3,-1,0,"unknown"
39,"management","married","tertiary","no",1070,"yes","yes","cellular",9,"jul",71,1,-1,0,"unknown"
43,"blue-collar","divorced","primary","no",3550,"no","no","cellular",20,"nov",1154,1,-1,0,"unknown"
56,"blue-collar","divorced","secondary","no",1346,"no","yes","cellular",28,"jul",240,3,-1,0,"unknown"
35,"services","single","secondary","no",2467,"no","no","cellular",20,"nov",319,5,-1,0,"unknown"
35,"blue-collar","single","secondary","no",0,"yes","no","cellular",8,"may",237,1,368,1,"other"
38,"admin.","single","tertiary","no",4,"yes","yes","cellular",18,"nov",71,3,-1,0,"unknown"
40,"admin.","single","secondary","no",142,"no","yes","unknown",20,"jun",14,3,-1,0,"unknown"
42,"management","married","tertiary","no",981,"yes","no","cellular",17,"nov",276,1,-1,0,"unknown"
58,"management","married","tertiary","no",0,"no","no","telephone",31,"jul",27,16,-1,0,"unknown"
55,"self-employed","divorced","secondary","no",148,"no","no","unknown",17,"jun",847,3,-1,0,"unknown"
49,"services","married","primary","no",0,"yes","no","cellular",6,"may",445,2,166,3,"failure"
24,"admin.","single","secondary","no",1055,"no","no","cellular",21,"jul",338,1,-1,0,"unknown"
33,"blue-collar","married","secondary","no",1233,"yes","no","cellular",14,"may",141,1,-1,0,"unknown"
40,"management","married","secondary","no",754,"no","yes","cellular",6,"apr",635,1,-1,0,"unknown"
52,"unemployed","married","secondary","no",5091,"no","no","cellular",26,"may",309,1,-1,0,"unknown"
52,"management","married","tertiary","no",2635,"no","no","cellular",6,"sep",313,1,108,8,"success"
26,"admin.","single","tertiary","no",313,"no","yes","cellular",2,"jun",199,1,96,2,"success"
44,"technician","married","secondary","no",-97,"yes","no","unknown",7,"may",408,3,-1,0,"unknown"
44,"blue-collar","married","primary","no",276,"yes","no","cellular",30,"jul",535,2,-1,0,"unknown"
37,"housemaid","married","primary","no",189,"no","no","cellular",8,"aug",148,4,-1,0,"unknown"
28,"management","single","tertiary","no",187,"no","no","cellular",10,"sep",255,1,93,2,"success"
41,"technician","divorced","tertiary","no",3465,"yes","no","cellular",11,"aug",389,4,-1,0,"unknown"
29,"services","married","secondary","no",182,"yes","no","telephone",13,"may",38,3,-1,0,"unknown"
49,"blue-collar","married","unknown","no",154,"yes","no","unknown",5,"may",357,1,-1,0,"unknown"
30,"admin.","married","secondary","no",2931,"yes","no","unknown",29,"may",199,3,-1,0,"unknown"
40,"blue-collar","married","unknown","no",874,"no","no","unknown",14,"may",75,1,-1,0,"unknown"
32,"unemployed","single","secondary","no",5670,"no","no","cellular",4,"feb",326,1,-1,0,"unknown"
30,"unemployed","single","secondary","no",2303,"no","no","telephone",6,"feb",193,5,-1,0,"unknown"
35,"admin.","divorced","secondary","no",0,"yes","no","cellular",7,"may",262,2,-1,0,"unknown"
58,"retired","married","unknown","no",662,"yes","no","cellular",2,"feb",389,1,-1,0,"unknown"
30,"technician","single","secondary","no",659,"yes","no","unknown",20,"may",241,3,-1,0,"unknown"
34,"management","married","tertiary","no",11,"yes","no","cellular",17,"apr",22,1,150,2,"failure"
31,"admin.","single","tertiary","no",1531,"yes","no","unknown",28,"may",48,5,-1,0,"unknown"
59,"retired","divorced","secondary","no",93,"no","yes","cellular",8,"aug",108,2,-1,0,"unknown"
30,"management","married","tertiary","no",877,"no","no","cellular",22,"may",122,2,108,3,"failure"
24,"student","single","secondary","no",2,"no","no","cellular",15,"may",48,1,-1,0,"unknown"
40,"services","married","secondary","no",17,"no","no","cellular",4,"jun",78,1,-1,0,"unknown"
37,"admin.","married","secondary","no",-47,"yes","no","unknown",30,"may",122,4,-1,0,"unknown"
46,"self-employed","divorced","tertiary","no",926,"yes","no","cellular",19,"nov",168,2,153,1,"other"
35,"technician","single","secondary","no",196,"yes","no","cellular",21,"nov",318,1,-1,0,"unknown"
38,"services","married","secondary","no",706,"no","no","cellular",18,"nov",206,2,-1,0,"unknown"
42,"services","divorced","secondary","no",732,"no","no","cellular",30,"jul",109,3,-1,0,"unknown"
42,"blue-collar","single","primary","no",-376,"yes","no","cellular",18,"may",53,1,-1,0,"unknown"
29,"student","single","tertiary","no",185,"yes","no","unknown",7,"may",141,3,-1,0,"unknown"
34,"self-employed","single","secondary","no",55,"yes","no","cellular",18,"may",155,1,-1,0,"unknown"
34,"admin.","single","tertiary","no",-199,"no","yes","cellular",8,"jul",130,1,-1,0,"unknown"
30,"technician","single","tertiary","no",3291,"yes","no","unknown",19,"may",1218,3,-1,0,"unknown"
51,"management","single","tertiary","no",4305,"yes","no","cellular",4,"may",126,1,-1,0,"unknown"
24,"blue-collar","single","unknown","no",76,"yes","no","unknown",19,"may",345,1,-1,0,"unknown"
42,"management","married","secondary","no",2608,"yes","no","unknown",29,"may",201,1,-1,0,"unknown"
50,"services","divorced","secondary","no",2015,"yes","no","cellular",19,"nov",242,1,-1,0,"unknown"
40,"admin.","married","primary","no",189,"yes","no","unknown",27,"may",160,2,-1,0,"unknown"
26,"admin.","single","secondary","no",1375,"yes","no","cellular",17,"apr",238,2,-1,0,"unknown"
30,"services","single","secondary","no",122,"yes","no","unknown",12,"may",501,2,-1,0,"unknown"
48,"management","single","tertiary","no",414,"no","no","cellular",21,"jul",761,2,-1,0,"unknown"
56,"management","divorced","unknown","no",2986,"no","no","cellular",30,"apr",124,1,-1,0,"unknown"
27,"student","single","tertiary","no",24025,"no","no","cellular",21,"oct",99,1,-1,0,"unknown"
32,"management","single","tertiary","no",0,"yes","no","cellular",20,"apr",415,2,-1,0,"unknown"
54,"blue-collar","married","secondary","no",2047,"no","no","telephone",9,"feb",150,7,194,6,"failure"
33,"self-employed","married","secondary","no",0,"no","no","cellular",18,"aug",73,7,-1,0,"unknown"
51,"entrepreneur","married","tertiary","no",36935,"yes","no","cellular",21,"nov",41,1,-1,0,"unknown"
42,"blue-collar","married","primary","no",832,"no","no","unknown",20,"jun",13,14,-1,0,"unknown"
39,"management","married","tertiary","no",540,"yes","yes","unknown",23,"may",1066,2,-1,0,"unknown"
39,"blue-collar","single","primary","no",419,"yes","no","cellular",17,"nov",186,1,181,1,"failure"
39,"technician","married","secondary","no",37,"yes","yes","cellular",11,"jul",467,1,-1,0,"unknown"
31,"technician","single","secondary","no",102,"yes","no","telephone",17,"apr",460,2,345,2,"failure"
36,"admin.","married","tertiary","no",29,"no","no","cellular",12,"aug",576,1,-1,0,"unknown"
41,"management","married","tertiary","no",0,"no","no","cellular",17,"sep",294,4,63,11,"other"
33,"management","married","tertiary","no",571,"no","no","cellular",8,"aug",390,2,-1,0,"unknown"
37,"admin.","married","secondary","no",525,"yes","no","unknown",23,"may",425,1,-1,0,"unknown"
47,"self-employed","married","tertiary","no",3072,"no","no","cellular",21,"nov",229,3,-1,0,"unknown"
60,"unknown","married","primary","no",4722,"no","no","unknown",20,"jun",459,3,-1,0,"unknown"
36,"entrepreneur","married","secondary","no",-280,"no","no","unknown",17,"aug",6,1,-1,0,"unknown"
54,"services","married","secondary","no",-22,"no","yes","cellular",9,"jul",85,1,-1,0,"unknown"
29,"management","married","tertiary","no",239,"yes","no","unknown",30,"may",143,4,-1,0,"unknown"
31,"management","single","tertiary","no",307,"no","no","cellular",8,"jul",361,1,229,2,"failure"
36,"housemaid","married","secondary","no",0,"no","no","cellular",21,"aug",76,2,-1,0,"unknown"
33,"blue-collar","married","secondary","yes",-266,"yes","yes","cellular",3,"feb",16,7,-1,0,"unknown"
47,"technician","divorced","unknown","no",442,"yes","no","cellular",11,"may",85,1,-1,0,"unknown"
49,"services","married","secondary","no",199,"yes","no","cellular",31,"jul",28,25,-1,0,"unknown"
73,"retired","divorced","secondary","no",1092,"no","no","cellular",7,"aug",390,2,-1,0,"unknown"
28,"self-employed","single","tertiary","no",805,"no","no","cellular",12,"nov",116,5,170,2,"failure"
52,"retired","married","unknown","no",293,"no","no","unknown",11,"jun",706,1,-1,0,"unknown"
53,"retired","married","primary","no",1068,"no","no","cellular",28,"jan",200,1,-1,0,"unknown"
39,"unemployed","single","secondary","no",804,"no","no","cellular",21,"dec",193,8,203,1,"success"
34,"unemployed","divorced","secondary","no",354,"yes","no","unknown",9,"may",308,1,-1,0,"unknown"
52,"technician","divorced","secondary","no",409,"yes","no","unknown",15,"may",73,7,-1,0,"unknown"
41,"management","single","tertiary","no",480,"yes","no","unknown",15,"may",178,2,-1,0,"unknown"
51,"technician","divorced","secondary","no",-471,"no","no","cellular",26,"aug",169,2,-1,0,"unknown"
46,"management","married","tertiary","no",466,"yes","no","cellular",31,"jul",109,8,-1,0,"unknown"
46,"entrepreneur","married","unknown","no",1481,"yes","no","unknown",7,"may",49,3,-1,0,"unknown"
25,"management","married","tertiary","no",0,"yes","no","cellular",31,"jul",20,31,-1,0,"unknown"
58,"retired","married","tertiary","no",0,"no","no","unknown",6,"may",393,1,-1,0,"unknown"
50,"admin.","divorced","secondary","no",124,"yes","yes","cellular",14,"may",367,2,289,19,"failure"
43,"blue-collar","married","primary","no",0,"yes","no","cellular",12,"may",48,3,285,4,"failure"
48,"technician","married","secondary","no",23495,"no","no","cellular",22,"aug",63,8,-1,0,"unknown"
37,"entrepreneur","married","secondary","no",209,"yes","no","cellular",17,"apr",100,1,-1,0,"unknown"
38,"management","married","tertiary","no",1,"no","no","cellular",10,"sep",342,2,-1,0,"unknown"
29,"services","single","secondary","no",1008,"yes","no","unknown",23,"may",426,9,-1,0,"unknown"
42,"management","married","tertiary","no",0,"yes","no","cellular",18,"jul",177,5,-1,0,"unknown"
38,"blue-collar","married","primary","no",8637,"yes","no","unknown",11,"jun",119,1,-1,0,"unknown"
40,"technician","single","tertiary","no",1646,"yes","no","cellular",4,"may",392,2,91,3,"success"
31,"management","single","tertiary","no",1836,"yes","no","cellular",12,"aug",177,2,-1,0,"unknown"
43,"technician","married","tertiary","no",591,"yes","no","cellular",12,"may",123,4,277,2,"failure"
49,"retired","married","primary","no",192,"no","no","cellular",10,"jul",227,1,-1,0,"unknown"
49,"technician","married","secondary","no",3033,"no","no","unknown",15,"may",125,5,-1,0,"unknown"
50,"self-employed","married","secondary","no",4440,"no","yes","cellular",31,"jul",12,3,-1,0,"unknown"
54,"technician","married","tertiary","no",395,"no","no","cellular",30,"apr",183,1,183,2,"success"
48,"entrepreneur","married","unknown","no",2550,"yes","no","unknown",14,"may",175,3,-1,0,"unknown"
29,"technician","single","secondary","no",594,"no","no","cellular",25,"may",128,1,-1,0,"unknown"
41,"management","single","tertiary","no",256,"yes","no","unknown",3,"jun",140,6,-1,0,"unknown"
32,"management","married","tertiary","no",1388,"yes","no","cellular",30,"apr",753,1,-1,0,"unknown"
53,"admin.","married","secondary","no",35,"yes","no","cellular",8,"apr",97,1,-1,0,"unknown"
27,"blue-collar","married","primary","no",713,"yes","no","unknown",30,"may",152,4,-1,0,"unknown"
34,"blue-collar","married","tertiary","no",20,"no","no","unknown",4,"oct",10,1,-1,0,"unknown"
30,"services","single","secondary","no",438,"yes","no","cellular",18,"may",98,1,178,1,"failure"
38,"blue-collar","married","primary","no",2240,"yes","no","cellular",19,"nov",551,1,183,1,"failure"
61,"self-employed","divorced","tertiary","no",52587,"no","no","cellular",15,"feb",394,3,189,1,"success"
68,"unknown","married","unknown","no",4092,"no","no","telephone",11,"aug",329,1,-1,0,"unknown"
46,"services","divorced","secondary","no",350,"yes","no","cellular",3,"apr",230,1,-1,0,"unknown"
36,"technician","married","secondary","no",1840,"no","no","cellular",19,"aug",61,6,-1,0,"unknown"
31,"technician","single","secondary","no",46,"no","no","cellular",27,"aug",313,6,-1,0,"unknown"
49,"blue-collar","single","primary","no",2623,"yes","no","unknown",15,"may",291,2,-1,0,"unknown"
40,"management","married","tertiary","no",1308,"no","no","telephone",3,"feb",1776,2,-1,0,"unknown"
57,"admin.","married","secondary","no",3927,"no","no","cellular",13,"oct",61,1,-1,0,"unknown"
23,"services","single","secondary","no",292,"yes","no","cellular",13,"may",437,2,-1,0,"unknown"
26,"unemployed","single","secondary","no",461,"no","no","cellular",28,"jan",214,1,-1,0,"unknown"
36,"student","single","secondary","no",409,"yes","no","unknown",12,"jun",72,1,-1,0,"unknown"
59,"retired","married","secondary","no",1875,"yes","no","unknown",13,"may",77,1,-1,0,"unknown"
30,"management","married","tertiary","no",0,"yes","no","cellular",9,"jul",127,1,-1,0,"unknown"
36,"technician","single","secondary","no",1228,"yes","no","cellular",4,"may",303,3,-1,0,"unknown"
40,"blue-collar","married","secondary","no",217,"yes","no","unknown",6,"may",195,1,-1,0,"unknown"
33,"blue-collar","divorced","primary","no",142,"yes","no","telephone",11,"may",41,2,300,5,"failure"
51,"management","married","secondary","no",2632,"no","no","unknown",30,"may",137,1,-1,0,"unknown"
51,"blue-collar","married","primary","no",-26,"yes","no","unknown",27,"may",47,1,-1,0,"unknown"
42,"admin.","single","unknown","no",297,"yes","no","unknown",29,"may",106,1,-1,0,"unknown"
35,"blue-collar","divorced","unknown","no",164,"no","no","unknown",11,"jun",967,2,-1,0,"unknown"
50,"entrepreneur","married","secondary","no",533,"yes","no","cellular",11,"may",171,2,-1,0,"unknown"
39,"technician","married","tertiary","no",3911,"yes","no","cellular",18,"nov",247,2,-1,0,"unknown"
50,"self-employed","married","primary","no",0,"no","no","cellular",22,"aug",125,4,-1,0,"unknown"
35,"blue-collar","single","primary","no",1284,"yes","no","telephone",14,"may",13,5,-1,0,"unknown"
43,"housemaid","married","secondary","no",2220,"no","no","cellular",27,"aug",177,3,-1,0,"unknown"
60,"retired","married","tertiary","no",614,"no","no","cellular",29,"aug",50,3,-1,0,"unknown"
58,"management","married","secondary","no",-382,"no","no","cellular",31,"jul",644,12,-1,0,"unknown"
59,"blue-collar","married","unknown","no",-278,"yes","no","unknown",13,"may",318,2,-1,0,"unknown"
37,"technician","single","secondary","no",3665,"no","no","cellular",12,"aug",664,3,-1,0,"unknown"
31,"unknown","single","tertiary","no",0,"no","no","cellular",7,"jul",57,1,-1,0,"unknown"
28,"admin.","single","secondary","no",25,"yes","no","unknown",5,"jun",109,2,-1,0,"unknown"
40,"management","married","tertiary","yes",-1036,"yes","yes","unknown",23,"jun",41,2,-1,0,"unknown"
